id,legislation,question,datetime,description
1,QUORUM 1,Call of the House,23-Jan-1990,12:31 PM,
2,MOTION,On Approving the Journal,24-Jan-1990,2:25 PM,
3,H R 2712,REFER BILL AND VETO JOINTLY TO FOREIGN AFFAIRS AND JUD.,24-Jan-1990,4:05 PM,WITH INSTRUCTIONS CHINESE ADJUSTMENT OF STATUS FACILITATION ACT
4,H R 2712,ON PRESIDENTIAL VETO,24-Jan-1990,5:24 PM,CHINESE ADJUSTMENT OF STATUS FACILITATION ACT
5,MOTION,On Approving the Journal,31-Jan-1990,12:21 PM,
6,H RES 309,On Agreeing to the Resolution,31-Jan-1990,2:24 PM,"PROVIDING FOR THE CONSIDERATION OF H.R. 2190, NATIONAL VOTER REGISTRATION ACT OF 1989"
7,H R 2061,On Motion to Suspend the Rules and Pass,6-Feb-1990,2:39 PM,MAGNUSON FISHERIES CONSERVATION AND MANAGEMENT ACT
8,H CON RES 254,SUSPEND THE RULES AND AGREE,6-Feb-1990,2:50 PM,EXPRESSING THE SENSE OF CONGRESS CONCERNING NEGOTIATIONS FOR A POLITICAL SETTLEMENT IN CAMBODIA
9,H R 2190,ON AGREEING TO THE AMENDMENTS,6-Feb-1990,5:28 PM,
10,H R 2190,On Motion to Recommit with Instructions,6-Feb-1990,5:59 PM,NATIONAL VOTER REGISTRATION ACT OF 1989
11,H R 2190,On Passage,6-Feb-1990,6:16 PM,NATIONAL VOTER REGISTRATION ACT OF 1989
12,H CON RES 262,SUSPEND THE RULES AND AGREE,7-Feb-1990,2:51 PM,EXPRESS SENSE OF CONGRESS CONCERNING OPERATION JUST CAUSE IN PANAMA
13,H RES 330,ON AGREEING TO THE RESOLUTION,7-Feb-1990,3:25 PM,A RESOLUTION CONCERNING THE CONGRESSIONAL RECORD
14,H R 1465,MOTION TO INSTRUCT CONFEREES,7-Feb-1990,4:26 PM,"OIL POLLUTION PREVENTION, RESPONSE, LIABILITY, AND COMPENSATION ACT"
15,H RES 338,On Agreeing to the Resolution,21-Feb-1990,2:04 PM,"PROVIDING FOR THE CONSIDERATION OF H.R. 2570, ARIZONA DESERT WILDERNESS ACT OF 1989"
16,H R 2742,SUSPEND RULES AND AGREE TO CONFERENCE REPORT,27-Feb-1990,4:05 PM,LIBRARY SERVICES AND CONSTRUCTION ACT AMENDMENTS
17,H CON RES 87,SUSPEND THE RULES AND AGREE,27-Feb-1990,4:14 PM,CONCERNING IRANIAN PERSECUTION OF THE BAHA’IS
18,H R 2570,On Passage,28-Feb-1990,2:33 PM,ARIZONA DESERT WILDERNESS ACT OF 1989
19,MOTION,On Approving the Journal,6-Mar-1990,12:24 PM,
20,H R 1109,On Motion to Suspend the Rules and Pass,6-Mar-1990,2:40 PM,CALIFORNIA NATIONAL HISTORIC TRAIL AND PONY EXPRESS NATIONAL TRAIL
21,H R 1243,On Motion to Suspend the Rules and Pass,6-Mar-1990,2:49 PM,REQUIRING THE SECRETARY OF ENERGY TO ESTABLISH THREE CENTERS FOR METAL CASTING COMPETITIVENESS RESEARCH
22,H R 1231,ON PRESIDENTIAL VETO,7-Mar-1990,2:45 PM,ESTABLISH COMMISSION TO INVESTIGATE EASTERN AIRLINES DISPUTE
23,QUORUM 23,Call of the House,14-Mar-1990,2:25 PM,
24,H RES 355,On Agreeing to the Resolution,14-Mar-1990,4:10 PM,PROVIDING FOR THE CONSIDERATION OF H.R. 3581; RURAL ECONOMIC DEVELOPMENT ACT OF 1990
25,MOTION,On Approving the Journal,15-Mar-1990,11:29 AM,
26,QUORUM 26,Call of the House,15-Mar-1990,2:57 PM,
27,H R 3581,On Agreeing to the Amendment,15-Mar-1990,3:06 PM,
28,MOTION,On Approving the Journal,20-Mar-1990,12:28 PM,
29,H R 4167,On Motion to Suspend the Rules and Pass,20-Mar-1990,2:25 PM,TO PROVIDE FOR SHORT TERM EXTENSION OF THE STRATEGIC PETROLEUM RESERVE
30,H R 2692,On Motion to Suspend the Rules and Pass,20-Mar-1990,2:34 PM,AMENDING THE WOODROW WILSON MEMORIAL ACT
31,S 1091,On Motion to Suspend the Rules and Pass,20-Mar-1990,2:43 PM,COAST GUARD BICENTENNIAL MEDAL ACT
32,H R 3182,On Motion to Suspend the Rules and Pass,20-Mar-1990,2:51 PM,YOSEMITE NATIONAL PARK CENTENNIAL MEDAL ACT
33,H R 3834,On Motion to Suspend the Rules and Pass,20-Mar-1990,2:58 PM,SELMA TO MONTGOMERY NATIONAL TRAIL STUDY ACT
34,H R 2566,On Motion to Suspend the Rules and Pass,20-Mar-1990,3:06 PM,"TO DISCLAIM ANY INTEREST OF THE UNITED STATES IN CERTAIN LANDS ON SAN JUAN ISLAND, WASHINGTON"
35,MOTION,On Approving the Journal,21-Mar-1990,2:24 PM,
36,H RES 346,On Agreeing to the Resolution,21-Mar-1990,4:51 PM,PROVIDING EXPENSES FOR INVESTIGATIONS AND STUDIES BY STANDING AND SELECT COMMITTEES OF THE HOUSE
37,H RES 362,On Ordering the Previous Question,22-Mar-1990,12:27 PM,QUESTION OF PRIVILEGE OF THE HOUSE
38,H RES 362,ON MOTION TO REFER TO THE JUDICIARY COMMITTEE,22-Mar-1990,1:55 PM,QUESTION OF PRIVILEGE OF THE HOUSE
39,H RES 362,On Agreeing to the Resolution,22-Mar-1990,2:16 PM,QUESTION OF PRIVILEGE OF THE HOUSE
40,H R 3581,On Passage,22-Mar-1990,3:19 PM,RURAL ECONOMIC DEVELOPMENT ACT
41,QUORUM 41,Call of the House,27-Mar-1990,2:09 PM,
42,H R 4328,On Motion to Suspend the Rules and Pass,27-Mar-1990,4:45 PM,TRADE AGENCY AUTHORIZATION ACT
43,H R 2209,On Motion to Suspend the Rules and Pass,27-Mar-1990,4:54 PM,"SOYBEAN PROMOTION, RESEARCH, AND CONSUMER INFORMATION ACT"
44,H R 908,On Motion to Suspend the Rules and Pass,27-Mar-1990,5:02 PM,FERC MEMBER TERM ACT OF 1989
45,H R 3386,On Motion to Suspend the Rules and Pass,27-Mar-1990,5:10 PM,SAFE TRANSPORTATION OF FOOD ACT
46,H J RES 471,On Motion to Suspend the Rules and Pass,27-Mar-1990,5:21 PM,"REGARDING COMMERCE, JUSTICE, AND STATE APPROPRIATIONS FOR FY 1990"
47,MOTION,On Approving the Journal,28-Mar-1990,12:22 PM,
48,QUORUM 48,Call of the House,28-Mar-1990,3:39 PM,
49,H R 3847,On Agreeing to the Amendment,28-Mar-1990,5:00 PM,
50,H R 3847,On Passage,28-Mar-1990,5:21 PM,DEPARTMENT OF ENVIRONMENTAL PROTECTION ACT
51,H R 1463,On Agreeing to the Amendment,28-Mar-1990,7:11 PM,
52,H R 1463,On Passage,28-Mar-1990,7:27 PM,NATIONAL CAPITAL TRANSPORTATION AMENDMENTS
53,H RES 368,On Ordering the Previous Question,29-Mar-1990,11:30 AM,PROVIDING FOR THE CONSIDERATION OF H.R. 3; CHILDHOOD EDUCATION AND DEVELOPMENT ACT OF 1989
54,H RES 368,On Agreeing to the Resolution,29-Mar-1990,11:46 AM,PROVIDING FOR THE CONSIDERATION OF H.R. 3; CHILDHOOD EDUCATION AND DEVELOPMENT ACT OF 1989
55,H R 3,On Agreeing to the Amendment,29-Mar-1990,3:18 PM,
56,H R 3,On Agreeing to the Amendment,29-Mar-1990,4:35 PM,
57,H R 3,On Agreeing to the Amendment,29-Mar-1990,6:14 PM,
58,H R 3,On Agreeing to the Amendment,29-Mar-1990,6:34 PM,
59,H R 3,COMMIT WITH INSTRUCTIONS,29-Mar-1990,6:58 PM,CHILDHOOD EDUCATION AND DEVELOPMENT ACT OF 1989
60,H R 3,On Passage,29-Mar-1990,7:16 PM,CHILDHOOD EDUCATION AND DEVELOPMENT ACT OF 1989
61,H R 4404,ON AGREEING TO THE AMENDMENT,3-Apr-1990,3:00 PM,
62,H R 4404,On Agreeing to the Amendment,3-Apr-1990,4:23 PM,
63,H R 4404,On Agreeing to the Amendment,3-Apr-1990,4:51 PM,
64,H R 4404,On Agreeing to the Amendment,3-Apr-1990,5:16 PM,
65,H R 4404,On Passage,3-Apr-1990,6:02 PM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
66,H R 1048,SUSPEND THE RULES AND AGREE TO SENATE AMENDMENT,4-Apr-1990,1:30 PM,HATE CRIMES STATISTICS ACT
67,H CON RES 289,SUSPEND THE RULES AND AGREE,4-Apr-1990,1:37 PM,RIGHTS OF THE LITHUANIAN PEOPLE
68,H R 2015,On Passage,4-Apr-1990,4:14 PM,PUBLIC WORKS AND ECONOMIC DEVELOPMENT ACT AMENDMENTS
69,H RES 373,On Ordering the Previous Question,18-Apr-1990,2:23 PM,"PROVIDING FOR THE CONSIDERATION OF H.R. 1236, PRICE FIXING PREVENTION ACT"
70,QUORUM 70,Call of the House,18-Apr-1990,4:14 PM,
71,H R 1236,On Agreeing to the Amendment,18-Apr-1990,4:24 PM,
72,H R 1236,On Agreeing to the Amendment,18-Apr-1990,5:16 PM,
73,H R 1236,On Agreeing to the Amendment,18-Apr-1990,5:52 PM,
74,H R 1236,On Passage,18-Apr-1990,6:13 PM,PRICE FIXING PREVENTION ACT
75,H R 644,On Passage,19-Apr-1990,1:34 PM,JEMEZ AND PECOS RIVERS WILD AND SCENIC RIVER ADDITION ACT OF 1989
76,H RES 354,SUSPEND THE RULES AND AGREE,24-Apr-1990,3:10 PM,REGARDING HUMAN RIGHTS IN LIBERIA
77,H CON RES 290,SUSPEND THE RULES AND AGREE,24-Apr-1990,3:19 PM,CONCERNING JERUSALEM AND THE PEACE PROCESS
78,H R 3961,On Motion to Suspend the Rules and Pass,24-Apr-1990,3:28 PM,ROBERT S. VANCE FEDERAL BUILDING
79,QUORUM 79,Call of the House,25-Apr-1990,3:01 PM,
80,H R 3848,On Agreeing to the Amendment,25-Apr-1990,3:12 PM,
81,H R 3848,On Agreeing to the Amendment,25-Apr-1990,4:32 PM,
82,H R 3848,On Passage,25-Apr-1990,4:56 PM,DEPOSITORY INSTITUTION MONEY LAUNDERING AMENDMENTS OF 1990
83,QUORUM 83,Call of the House,26-Apr-1990,2:38 PM,
84,H CON RES 310,On Agreeing to the Amendment,26-Apr-1990,2:48 PM,
85,H CON RES 310,On Agreeing to the Amendment,26-Apr-1990,3:49 PM,
86,H R 743,On Motion to Suspend the Rules and Pass,1-May-1990,1:44 PM,NEGOTIATED RULEMAKING ACT OF 1990
87,S 1485,On Motion to Suspend the Rules and Pass,1-May-1990,1:53 PM,QUAD CITIES INTERSTATE METROPOLITAN AUTHORITY COMPACT
88,H CON RES 310,On Agreeing to the Amendment,1-May-1990,4:15 PM,
89,H CON RES 310,On Agreeing to the Resolution,1-May-1990,5:28 PM,"BUDGET FOR UNITED STATES GOVERNMENT FOR FISCAL YEARS 1991, 1992, 1993, 1994, AND 1995"
90,H RES 379,On Agreeing to the Resolution,2-May-1990,1:27 PM,PROVIDING FOR CONSIDERATION OF H. R. 4380; SUPERCONDUCTING SUPER COLLIDER PROJECT AUTHORIZATION ACT OF 1990
91,QUORUM 91,Call of the House,2-May-1990,3:32 PM,
92,H R 4380,On Agreeing to the Amendment,2-May-1990,3:40 PM,
93,H R 4380,On Agreeing to the Amendment,2-May-1990,5:19 PM,
94,H R 4380,On Passage,2-May-1990,5:49 PM,SUPERCONDUCTING SUPER COLLIDER PROJECT AUTHORIZATION ACT OF 1990
95,MOTION,On Approving the Journal,3-May-1990,11:24 AM,
96,H R 4404,MOTION TO INSTRUCT CONFEREES,3-May-1990,12:35 PM,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATION, 1990"
97,MOTION,On Approving the Journal,8-May-1990,12:24 PM,
98,H R 4522,On Motion to Suspend the Rules and Pass,8-May-1990,2:50 PM,IMPROVING INFORMATION AVAILABLE TO EMERGENCY RESPONSE PERSONNEL IN THE FIELD
99,H R 237,On Motion to Suspend the Rules and Pass,8-May-1990,2:58 PM,BIOLOGICAL WEAPONS ACT OF 1989
