1,Miller (FL),R,FL,
2,DeGette,D,CO,
3,Hooley,D,OR,
4,Livingston,R,LA,
5,Delahunt,D,MA,
6,McHale,D,PA,
7,Cooksey,R,LA,
8,Gilchrest,R,MD,
9,Porter,R,IL,
10,Gutierrez,D,IL,
11,English,R,PA,
12,Baesler,D,KY,
13,Aderholt,R,AL,
14,Rush,D,IL,
15,Sanders,I,VT,
16,Wynn,D,MD,
17,Frank (MA),D,MA,
18,Coyne,D,PA,
19,Lowey,D,NY,
20,Walsh,R,NY,
21,Nethercutt,R,WA,
22,Latham,R,IA,
23,Menendez,D,NJ,
24,Myrick,R,NC,
25,Fawell,R,IL,
26,Herger,R,CA,
27,Shadegg,R,AZ,
28,Poshard,D,IL,
29,McIntosh,R,IN,
30,Hoekstra,R,MI,
31,Thurman,D,FL,
32,Deutsch,D,FL,
33,Gejdenson,D,CT,
34,Bereuter,R,NE,
35,Meek,D,FL,
36,Baker,R,LA,
37,Scott,D,VA,
38,Goodlatte,R,VA,
39,Sanford,R,SC,
40,Lofgren,D,CA,
41,Lazio,R,NY,
42,Kildee,D,MI,
43,Jones,R,NC,
44,Paxon,R,NY,
45,Meek (FL),D,FL,
46,Callahan,R,AL,
47,Traficant,D,OH,
48,Murtha,D,PA,
49,Dooley,D,CA,
50,Martinez,D,CA,
51,Knollenberg,R,MI,
52,Etheridge,D,NC,
53,Ganske,R,IA,
54,Brady (PA),D,PA,
55,Doolittle,R,CA,
56,Spratt,D,SC,
57,Pelosi,D,CA,
58,Edwards,D,TX,
59,Ney,R,OH,
60,Hastert,R,IL,
61,Bryant,R,TN,
62,Weldon (FL),R,FL,
63,Velazquez,D,NY,
64,Chenoweth,R,ID,
65,Barrett (WI),D,WI,
66,Roukema,R,NJ,
67,Rothman,D,NJ,
68,Hobson,R,OH,
69,Pease,R,IN,
70,Boucher,D,VA,
71,Turner,D,TX,
72,Neal,D,MA,
73,Becerra,D,CA,
74,Goss,R,FL,
75,Pastor,D,AZ,
76,Neumann,R,WI,
77,Manton,D,NY,
78,McCarthy (NY),D,NY,
79,McKinney,D,GA,
80,McCollum,R,FL,
81,Sununu,R,NH,
82,Brown (CA),D,CA,
83,"Schaffer, Bob",R,CO,
84,Conyers,D,MI,
85,Gordon,D,TN,
86,Oxley,R,OH,
87,Scarborough,R,FL,
88,Everett,R,AL,
89,Price (NC),D,NC,
90,Gilman,R,NY,
91,Payne,D,NJ,
92,Barrett (NE),R,NE,
93,Bonilla,R,TX,
94,Engel,D,NY,
95,Hinchey,D,NY,
96,Brady,R,TX,
97,Kilpatrick,D,MI,
98,Kleczka,D,WI,
99,Deal,R,GA,
100,Armey,R,TX,
101,Solomon,R,NY,
102,Gekas,R,PA,
103,McKeon,R,CA,
104,Wolf,R,VA,
105,Obey,D,WI,
106,Upton,R,MI,
107,Quinn,R,NY,
108,Crapo,R,ID,
109,Parker,R,MS,
110,Weldon (PA),R,PA,
111,Frost,D,TX,
112,Saxton,R,NJ,
113,Pitts,R,PA,
114,Brady (TX),R,TX,
115,Ewing,R,IL,
116,Camp,R,MI,
117,Pryce (OH),R,OH,
118,Watts (OK),R,OK,
119,Rohrabacher,R,CA,
120,Hefner,D,NC,
121,Pomeroy,D,ND,
122,Cramer,D,AL,
123,"Smith, Adam",D,WA,
124,Cox,R,CA,
125,Bilbray,R,CA,
126,Sherman,D,CA,
127,Bilirakis,R,FL,
128,Lewis (KY),R,KY,
129,Ehrlich,R,MD,
130,Taylor (MS),D,MS,
131,Morella,R,MD,
132,Dickey,R,AR,
133,Buyer,R,IN,
134,Cummings,D,MD,
135,Smith (TX),R,TX,
136,Tierney,D,MA,
137,John,D,LA,
138,Pascrell,D,NJ,
139,Farr,D,CA,
140,Packard,R,CA,
141,Regula,R,OH,
142,Fattah,D,PA,
143,LaTourette,R,OH,
144,Dellums,D,CA,
145,Gingrich,R,GA,
146,Eshoo,D,CA,
147,Blagojevich,D,IL,
148,Hutchinson,R,AR,
149,Lantos,D,CA,
150,Boehlert,R,NY,
151,Woolsey,D,CA,
152,Rivers,D,MI,
153,Pickett,D,VA,
154,Wilson,R,NM,
155,Cardin,D,MD,
